Id,title,genre,author,desc,rating,day,finish
814834,체탐자,무협/사극,"병장, 박만사 / 해성","‘세종의 비밀병기, 그림자부대 체탐자.’
어린 시절부터 전쟁터를 헤매며 귀신의 그림자라 불리는 귀영.
복수를 다짐하며 이 나라 최초의 특수부대 체탐자의 일원이 되기로 한다.",9.90,매일 연재,Complited
822835,나쁜 상사,로맨스,네온비,"""내가 겪었던 지옥, 똑같이 돌려줄게.""

끔찍했던 과거로부터 도망친 승규는
유명 광고 회사 팀장이 되어 과거를 숨긴 채 살아가고 있다.
하지만 그의 앞에 자신의 인생을 파멸시켰던,
빚더미에 떠밀려 나앉게 만든 민이 신입사원으로 들어온다.

보란듯이 잘 살고 있는 민을 보며 승규는 복수를 결심하고,
민이 사랑하는 여자 영조에게 계획적으로 접근한다.
그것을 알 리 없는 영조는
상사인 승규의 저돌적인 대시와 매력에 점차 빠져들게 된다.
그 모습을 모조리 지켜본 김민은
승규에게서 영조를 떼어놓기 위해 승규의 과거를 파헤치기 시작하는데…

거짓으로 뒤덮인 복수극의 승자는 과연 누가 될 것인가?",9.90,매일 연재,Complited
808074,트러블리걸,로맨스,일쩜이,"매콤한 연애서바이벌에 출연하게 된 순둥이 하새월.
플러팅과 호의도 구분 못하는 모쏠 새월에게
직진남 n명과의 동거는 어렵기만 하다. 
심지어 여기선 모든 게(?) 가능하다고?
꼬리 백개 달린 폭스남녀들 사이에서 살아남을 수 있을까?!",9.64,매일 연재,Complited
799868,행운을 부탁해!,로맨스,해롱,"온갖 불행을 달고 사는 불운의 주인공, '허윤!' 
그런 허윤 앞에 나타난 이상하고 아름다운 남자, '앙드레!' 
허윤을 자신의 매니저라고 부르는 앙드레의 정체는 바로, 
신을 뽑는 오디션 'SHOW ME THE GRACE'의 후보생. 
이상하게도 그의 곁에 있으면 잠시나마 행운을 맛볼 수 있다!? 
달콤한 제안에 넘어간 불행 인간 허윤과 
까다로운 은총 소유자 앙드레의 좌충우돌 계약 동거가 시작된다!",9.86,매일 연재,Complited
811908,대박사건,스릴러,"광진, 두엽 / 그나","“내가 사람을 치었어?”
아버지는 시장, 한국대 수시 합격!
최고 스펙 고등학생 조수아!
단 한 번의 실수로 뺑소니를 저지르게 된다.
하지만 괜찮다 아무도 못 봤으니까.
그런 그녀에게 날아오는 M . 의 메시지
“?” 누구세요.
“!” 목격자당.
모든 것을 알고 있는 목격자의 등장.
그녀의 완벽한 일상에 금이 가기 시작한다!",9.84,매일 연재,Complited
794458,보고 있지?,드라마,송범규,"취준생이라 말하고 힙찔이로 사는 노답인생, 희목. 
눈 없는 남자가 눈을 찌르는 악몽을 꾼 다음날, 
여자친구 은혜와 주말 데이트를 하고 원룸에서 함께 잠이 드는데, 
다음 날, 희목은 뉴스에 나오는 희대의 쓰레기가 되었다. 
희목의 눈으로 찍힌 모든 광경들이 인터넷에 스트리밍 되었고, 
그 안엔 어제 은혜와 보낸 밤도 포함되어 있었기 때문에... 

SNS에서 퍼진 스트리밍 영상은 뉴튜버들을 몰고 왔고, 
세상 사람 모두가 정의 구현을 외치며 희목을 쫓는다. 
희목은 뉴튜버와 사람들의 추적을 피해 은혜와 오해를 풀 수 있을까? 
그리고 희목은 스트리밍의 저주에서 벗어날 수 있을까?",8.39,매일 연재,Complited
811255,멸망으로 시작하는! 근미래 생존법,판타지,김부농,"어느 날 떨어진 운석과 그 안에서 나온 괴생명체로 인해 인류의 대부분이 괴물로 변해버린 세상.
하지만 아이러니하게도 생존자들은 괴물에 대항할 힘을 얻게 되는데….

수학여행 도중 멸망을 맞이한 물결과 친구들은 서울로 돌아가 부모님의 생사를 확인하고 싶지만,
변해버린 인류에게 적용되는 특별한 『법칙』때문에 혼자서는 절대 서울까지 갈 수 없다.
다 같이 살아서 서울까지 도달할 수 있을까? 물결과 친구들의 고군분투 생존기!",9.87,매일 연재,Complited
813329,연애 생각은 없지만,로맨스,서울소,"“심플하게 살래요.”
늘 하던 대로 살고 싶은 도희, 혼자가 '좋아요'하는 직장동료 동이
오피스에서 연애 생각은 없지만.. 그럴 생각은 없지만?
자꾸 자꾸 마주치는 두 사람의 내밀함 속으로 초대합니다. <연애 생각은 없지만>",9.95,매일 연재,Complited
64997,나이트런,판타지,김성민,"우주력 430년. 성간이동이 가능해져 별과 별을 이동하는 시대
인간은 괴수와 싸우고 있다. 기사와 함께.광활한 우주를 배경으로 판타지 SF가 다가온다.",9.91,매일 연재,Complited
478261,선천적 얼간이들,개그,가스파드,"뭘 해도 안되는 얼간이 신인류가 떴다!
낙천적 우유부단 거북이 가스파드와 말초적 친구들의 좌충우돌 라이프.
이미 화제의 중심! 'Natural Born Idiots'의 새로운 이름, '선천적 얼간이들'",9.96,매일 연재,Complited
