id,title,author,genre,description,rating
761104,"곱게 키웠더니, 짐승",티바 / 여슬기 / 이른꽃,"스토리, 로맨스",반쪽짜리 황녀 블론디나 외로운 그녀의 유일한 친구는 귀여운 고양이가 아니라 만인이 두려워하는 흑표범 신수 에이몬자신과 닮아 외로워 보이는 신수님을 치료해주고 간식 주고 곱게 키워줬더니그렇게 도망가면 사냥하고 싶어져 오히려 곱게 잡아먹히게 생겼다,9.96
686911,공감.jpg,임총,"에피소드, 개그",이거 나만 그런거 아니지응 너만 그런거 아니야 반박불가 공감이 밀려온다,4.45
678499,공대생 너무만화,최삡뺩,"스토리, 개그",평범한 문과생 공대생이 되다최삡뺩 작가의 신작,9.97
768094,공방의 마녀,박소희,"스토리, 로맨스",저주를 받은 자 저주를 건 자 저주를 수호하는 자괴상한 저주를 둘러싼 세 가문의 이야기영국 공작가의 아들과 마녀의 후손 그리고 저주를 수호하는 자의 후손이 벌이는 삼각관계,9.82
642700,공복의 저녁식사,김계란,"스토리, 드라마",세상에는 왜 이렇게 맛있는 게 많을까만두와의 저녁식사를 통한 식탐소녀 복희의 좌충우돌 성장기,9.75
163295,공부하기 좋은 날,황준호,"옴니버스, 스릴러","죽거나 혹은 공부해야하는 우리 학생들
그들에게 벌어지는 조금은 무서운 이야기",9.84
729047,공유몽,주신 / 유령선,"스토리, 판타지",잠이 들면 또 다른 세계가 펼쳐진다꿈을 빼앗긴 자들이 모이는 곳 큐브고유한 능력과 아이템을 부여받은 큐버존재하지 않았던 일곱 번째 형태의 아이템을 계승한 도시언의 성장 액션 먼치킨 판타지,9.92
655748,공주는 잠 못 이루고,하가,"스토리, 드라마",당신 없이는 살 수 없어나는 구원 받을 수 있습니까,9.95
753380,공포단편선X,김대일,"에피소드, 스릴러",작가 김대일의 섬뜩한 연출력이 만든 공포단편선 X 이색적인 공포 이야기들을 단편으로 다양하게 보여준다 끝나는 순간까지 결과를 예측할 수 없는 공포가 다가온다,9.73
752803,관계의 종말,김용키,"스토리, 스릴러",타인은 지옥이다 김용키 작가의 신작여자친구와 함께 떠난 비경에 숨겨진 펜션으로의 여름휴가하지만 불쾌한 펜션 주인을 시작으로 주인공의 트라우마를 끄집어내는 끔찍한 만남들이 이어진다지옥으로 치닫는 사건과 사고 이제 모든 것을 끝낼 때가 왔다,9.78
