title,genre,description,rating,writer,illustrator,original_creator
두근거려요,로맨스,두 번째 사랑을 할 수 있을까라미의 두근두근 사랑 이야기,9.96,뚱땡이냐옹이,뚱땡이냐옹이,뚱땡이냐옹이
두근두근 네가 좋아서,로맨스,모든 게 완벽한 탑스타 서건우 만만치 않은 신인 민서연에게 반해버렸다,9.94,박래모 , 서혜은,박래모 
두근두근 마감 중,로맨스,만년작가 지망생 안봄 작가 면접을 봤는데 작가가 아니라 담당자로 취업이 되었다고,9.44,연두 , 송이,연두 
두근두근 연극부,로맨스,결계녀 김태경 작가 신작 전학생 김승민 여자친구를 사귀기 위해 예쁜 애들이 많은 연극부로 직행한다 그 연극부는 수많은 남학생들이 부원들의 미모에 속아서 들어왔다가 버티지 못하고 탈퇴해서 인원이 딱 1명 모자랐는데 우리 연극부에 들어올래 1년간 연극부에서 버티면 부원들 중 누군가가 여친이 되어줄게,8.82,김태경,김태경,김태경
두근두근두근거려,드라마,3단 합체 김창남의 하일권 신작건조했던 일상이 두근두근 거리기 시작한다,9.95,하일권,하일권,하일권
두번째 생일,스릴러,열여덟 번째 생일 날 차마 기억하고 싶지 않은 그것이 찾아왔다,9.43,스프링,스프링,스프링
둥굴레차!,판타지,청룡 주작 백호 현무 사신의 증표를 가지고 태어난 네 무술소년들의 수련기 2013 대학만화 최강자전 2위 수상작,9.95,기라3,기라3,기라3
드래곤레시피,판타지,드래곤이 식재료로 전략한 시대 상상 초월 드래곤 사냥의 막이 열린다본 작품은 2013 만화스카우트 선정 작품입니다,9.33,ELDO , 엽,ELDO 
드래곤의 심장을 가지고 있...,로맨스,천 년전 포악한 드래곤을 무찔렀다는 용사 샤론샤론을 동경하며 자란 아루 앞에 어느날 정체불명의 남자가 등장한다뭐 자기가 바로 그 무시무시한 드래곤이라고 게다가 내가 바로 그 용사라는데천 년만에 재회한 드래곤과 용사의 귀엽고도 애절한 로맨스 판타지,9.96,시뉴라,시뉴라,시뉴라
드로잉 레시피,감성,어머니가 돌아가신후 어머니가 주인이었던 석촌 미선빌라 201호로 이사 온 은수의  용서와 성장의 힐링여행,9.96,꼬모소이,꼬모소이,꼬모소이
들개,액션,소중한 사람을 살인 사건으로 잃게 된 형사 광렬경찰을 그만두고 무의미한 하루를 살아간다어느 날 갑자기 찾아온 제보자로 인해 알게 된 살인 사건의 진상 잔혹한 사건의 진상과 광기어린 용의자들 사냥감을 포착한 들개가 된 광렬의 처절한 복수가 시작된다,9.67,홍원찬 , 최감자,홍원찬 
등교하는 근식이,액션,2년 전 불의의 사고를 겪은 이후 근식의 주변에서는 매주 끊임없는 위험들이 발생한다 그럼에도 불구하고 등교하는 근식이와 친구들의 개근 일화,9.97,무지개 멍멍이,무지개 멍멍이,무지개 멍멍이
디나운스,드라마,세계 최고의 운동화를 만들겠다는 강안의 꿈은 2년 전 그날 끝나버렸다더는 운동화를 만들지 않겠다고 다짐하고 살아가던 강안은충격적인 진실을 마주하고 마는데 복수와 성장 우정이 얽힌 청춘드라마,9.81,윤예,윤예,윤예
디펜스 게임의 폭군이 되었다,판타지,타워디펜스던전오펜스 RPG 제국을 지켜라누구도 클리어하지 못한 난이도로 게임의 엔딩을 봤다그런데 정신을 차리니 게임 속이다그것도 공략이 불가능한 튜토리얼 스테이지다반드시 클리어해 주마 이 거지 같은 게임,9.93,하정 , 굥 , 류은가람
딥(DEEP),스릴러,오래 전 실종되었던 가족이 다시 우리 곁으로 돌아왔다마지막까지 예측불가 미스터리 드라마 호러 웹툰,9.95,토우 , 김태헌,토우 
따개비,스릴러,작은 무인도 굴덕도의 등대 관리 공무원 이어진평소처럼 평화롭고 지루한 등대에서 시간이나 때우던 어느 날친한 낚시꾼이 넘겨준 감생이에서 표피를 뚫고 나온괴이한 따개비를 보게 된다그리고 그 후,8.75,뜰새 , delete , 레고밟았어
땅 보고 걷는 아이,드라마,나는 항상 주눅들어있는 아이였다폭력이 나에게 미친 영향에 대한 이야기,9.95,다온,다온,다온
떨림,로맨스,사랑한 사람을 가슴에 묻고 신부가 된 남자 그리고 어느날 그의 앞에 고해성사를 하는 그녀가 나타났다 그녀는 2주 후 결혼을 앞뒀고 고해실에서 과거에 사랑했던 남자를 다시 만나고 싶다고 고백을 하는데,8.68,원수연,원수연,원수연
또 다른 사랑,드라마,잘못된 사랑으로 평범할 것만 같았던 행복이 한순간 절망으로 뒤바뀌어 버렸다 주홍글씨처럼 새겨진 악몽에서 벗어나 진실을 밝히기 위해절망에서 벗어나 행복을 쟁취하기 위해제이가 움직이려는 순간그녀에게 이국적이고 진정한 사랑이 다가오는데,9.97,이순기 , 또각 , 스파클라
"또다시, 계약 부부",로맨스,서로에게 강한 이끌림을 느꼈던 건하와 서연 하지만 전혀 다른 삶을 살아왔던 두 남녀는 짧은 결혼 생활을 마치고 결국 이혼을 선택한다 5년 뒤 건하는 서연에게 또 한 번 계약 부부를 제안한다  나와 다시 부부가 되어줘야겠어 이번엔 꽤 사이좋은 부부로 말이야,9.86,제제 , 설우희,제제 
또한번 엔딩,로맨스,연애 최고의 결말은 결혼일까 이별일까신혼부부 전세대출을 받기 위해 결혼을 결심한 비혼주의 으른들의 아찔한 결혼사기 로맨스플레이리스트 신작 웹드라마 또한번 엔딩을 웹툰으로 만나보세요,9.83,타리,타리,타리
똑 닮은 딸,스릴러,우리 엄마가 살인마인 것 같다 성적 우수 품행 단정 모범적인 자식인 길소명은 엄마가 요구하는 기준에 맞춰 완벽한 딸로 살아왔다그러나 남동생이 강물에서 시체로 떠오른 그 날 소명의 머릿속엔 섬뜩한 의혹이 피어오른다자식의 인생에 방해되는 모든 것을 없애려는 엄마와 그녀에게서 벗어나려는 딸 두 사람의 잔혹한 모녀 스릴러2020 지상최대공모전 2기 우수상 수상작,9.98,이담,이담,이담
뚝배기 깨러 왔습니다,액션,비리를 척결하고자 했던 강백현은 내부고발자로 찍혀 한직으로 좌천된다크게 절망한 주인공 앞에 뺑소니 사고를 당했던 5급 공무원 최용규의 유령이 나타나는데,8.58,임성훈,임성훈,임성훈
뜨거운 것이 좋아.,로맨스,찜질방에서 벌어지는 청춘 남녀들의 사랑과 고민그리고 다시 세상으로 돌아가기 위해 숨고르기를 하는 이웃들의 이야기,9.66,고민정,고민정,고민정
뜨거운 홍차,로맨스,학교를 자퇴하고 생계를 위해 아르바이트를 전전하는 누리신세지고 있던 회장님 댁 아들이 오토바이 사고로 장기입원한다회장님의 분노를 염려한 사모님은 아들과 똑 닮은 누리에게 남장을 하고 학교를 대신 다녀줄 것을 제안하는데아니 사모님 저는 여자인데요,9.78,에리카 , ZZING , 김빵
라나,판타지,사이보그와 로봇만이 존재하는 먼 미래의 시대 사이보그가 된 뒤 기억을 모두 잃은 요한이 냉동 보관되었던 마지막 인간 라나를 깨우게 되면서 멈춰있던 운명의 톱니바퀴가 다시 돌아가기 시작한다,9.67,서이레 , SangFeel,서이레 
라라파루자,액션,남양주를 제패한 남고생 싸움꾼 홍민재 곳곳을 돌아다니며 싸움을 걸고 다니는 그를 사람들은 하얀 머리를 가진 표범설표라 부른다길거리 싸움은 폭력일 뿐 진정한 싸움은 무대에서 펼쳐진다천상천하 유아독존 싸움꾼 소년의 도전이 시작된다,9.65,유티스트,유티스트,유티스트
라면 대통령,드라마,연애 5주년 특별한 기념일에 라면을 끓여줬다가 보기 좋게 차인 구공탄할 줄 아는 건 라면 끓이는 게 전부였던 백수 공탄은 전 여친 묵은지가 기획한 라면 대통령 서바이벌 오디션에 도전한다 라면을 통해 진정한 사랑을 찾아가는 네 남녀의 연애 레시피,9.77,명랑 , 신얼,명랑 
라서드,판타지,절대적 권능을 지닌 11인의 왕과 왕을 수호하기 위한 기사단이 존재하는 세계수습기사 힌타는 파트너 캐넛과 함께 정식 기사가 되기 위한 모험을 떠나는데정식기사가 되기 위한 소년들의 고군분투 정통판타지액션,9.96,감람,감람,감람
라스트 서브미션,드라마,시한부 선고를 받은 노희망 그의 인생에 다시 없을 라스트 서브미션이 시작됐다,9.94,이행복,이행복,이행복
라이징패스트볼,스포츠,고교야구 야구소년불꽃같은 그들의 이야기,9.51,박현수,박현수,박현수
라일락 200%,로맨스,아이돌 덕후 연하늘과 걸그룹 센터 진분홍의 영혼 체인지누나 안 바쁘면 비상구에서 잠깐 볼래요 최애를 매일 밤 만날 수 있다니 이 순간을 잃고 싶지 않아,9.97,아니영,아니영,아니영
"라커, 오프너",판타지,무엇이든 여는 능력을 가진 김도빈 형사 앞에 무엇이든 잠가버리는 범죄자 라커가 나타난다중요한 진실 하나뿐인 관계 천재적인 재능이 속수무책으로 잠겨버리는 사건들 앞에 라커를 잡기 위한 오프너의 분투,9.91,만취 , 바른꽃,만취 
라크리모사,판타지,싸우자 귀신아 그 마지막 이야기,9.69,임인스,임인스,임인스
랑데뷰,드라마,내향적이고 소심한 성격이 고민인 하민이는 카페 랑데뷰에서 조금 특이한 사람들을 만나게 된다 28살 동갑내기 친구들의 맵단짠 감성 시트콤,9.96,제로,제로,제로
랜덤채팅의 그녀!,드라마,랜덤채팅만 하던 준우에게 온 기적과연 그녀들에게 다가갈수 있을까읽다 보면 원픽 캐릭터 무조건 생김ㅇㅇ,9.31,박은혁,박은혁,박은혁
랭커,액션,극비리로 진행되는 멤버쉽 온라인 게임 랭커우연히 랭커에 뛰어든 격투기선수 강준서어느 순간부터 상대가 괴물로 보였던 준서는 자신의 플레이어인 정준의 목소리를 통해서 안정을 되찾고정준과 함께하면서 증세를 치료하고자 마음먹는다하지만 랭커에는 목숨을 걸어야 하는 퀘스트뿐 아니라캐릭터끼리 벌이는 배틀과 사냥의 위협까지 도사리고 있다,9.79,신건 , taibogi,신건 
러브판타지페이퍼,스릴러,항상 미스터리 사건만 쫓아다니던 기자 김재희아무리 쫓아도 잡히지 않던 미스터리가 평범했던 그의 일상속에 찾아온다,9.94,단우,단우,단우
럭키언럭키,판타지,평범하게 살아왔던 안녹희 알고보니 행운 초능력자였다어쩌다보니 초능력학교 전교 1등까지 해버리고다시 평범해지고픈 안녹희의 고군분투 고교생활,9.96,가천가,가천가,가천가
레드돌,판타지,기계인형이 된 인간을 사냥하는 인형 사냥꾼 이야기SBA서울문화사네이버가 함께하는 2015 만화 스카우트 당선작입니다,9.87,최윤열,최윤열,최윤열
레드초콜릿,로맨스,이강아 서른 살 아직은 삶이 어렵기만 한 그녀와 이삭 사랑 외엔 두려운 것이 없는 열여덟 소년두 사람 그리고 함께하는 이들이 만들어가는 다채로운 이야기,9.84,정기림 , 편현아,정기림 
레드카펫,드라마,그린보이 임진국 작가의 신작 잔혹 스릴러피로 물든 레드카펫,9.91,임진국,임진국,임진국
레사 시즌1,판타지,어느날부턴가 사람들은 디맨으로 변한다매일밤 계속되는 습격 그리고 동생을 찾는 한 남자그 혼돈 속에서 신이 눈을 뜬다,9.95,POGO,POGO,POGO
레사 시즌2~3,판타지,어둠을 따르는 자와 빛을 따르려는 자 마침내 모두에게 공평한 멸망의 때가 왔다 멸망을 막기 위한 신들의 전쟁,9.97,POGO,POGO,POGO
레이디악숀,로맨스,영화감독을 꿈꾸는 연준 찌질 했던 과거를 숨긴 채 톱배우로서 새 삶을 살던 동창 원도현을 캐스팅하다,9.04,령 , 박혬,령 
레인보우 로즈,판타지,간절히 원하면 이루어진다 2012 서울만화스카우트 당선작 레인보우 로즈,9.93,김예린 , 장유라,김예린 
레지나레나 - 용서받지 못...,로맨스,기회를 드릴게요 제게 용서받을 기회요 아버지는 딸을 팔았다 그리고 딸은 지옥에서 돌아왔다 생과 사가 뒤섞인 제국 어린 레나 루벨은 아버지를 위한 제물이 되어 가련히 죽을 운명이었다 하지만 6년 후 모두가 죽었다고 생각한 여자아이는 다시 돌아왔다 어린 양의 탈을 벗고 사자가 되어,9.94,곽나나 , 설동원 , 김영지
레코닝,판타지,내가 살려면 또 다른 내가 죽어야 한다,9.98,이혜,이혜,이혜
로그아웃,스릴러,인간이 상상하기 힘든 신기술들이 개발되고욕망을 충족해가는 사람들 인류에게 주어진 선물일까 저주일까,9.73,임목원,임목원,임목원
로딩,드라마,스무 살 가을 자신의 가장 소중한 친구와 함께 떠났던 첫 여행 이 여행에서 성훈은 친구를 사고로 잃고 만다,9.77,이지우,이지우,이지우
로또 황녀님,로맨스,나는 환생과 회귀를 멋지게 한 아기를 만나고 싶단다 한 번 더 살아볼 테냐전생의 유명 유튜버 다음 인생에서 신이 좋은 가문에 태어나게 해 준댔는데망한 황실의 황녀로 태어나고 말았다그런데 절망도 잠시 띠롱 소리와 함께 눈앞에 채팅창이 떠올랐다이게 다 뭐야베르크 내 조카가 빵이 먹고 싶다는군베르크 제국의 모든 빵집을 수배해,9.96,무무경 ," 보리멸, 도힌",무무경 
로맨스가 가능해?,로맨스,24년을 고아로 살아온 내게 쌍둥이 언니가 있다면 그 언니가 재벌집에 입양되었다면그리고 정략 결혼을 앞두고 가출을 했다며 재벌가에서 나를 찾아왔다면나더러 언니 대신 결혼해서 딱 1년만 언니인 척 살아달라고이다는 10억을 대가로 쿨하게 오케이 하지만 결혼식장에서 처음 만난 둘은 서로를 향해 같은 감상을 갖는데뭐지 이 또라이는 이 또라이가 내 결혼상대라고이 계약 끝에 기다리는 건 10억일까 사랑일까이 결혼 괜찮은 걸까,9.95,임주이 , 송정원,임주이 
로맨스는 살벌하게,로맨스,무자비한 킬러 사냥개 현주와 순수한 마약판매상 정우가 펼치는 액션로맨스코미디,9.38,박시현 , 라미아,박시현 
로맨틱 태평수산,로맨스,더 이상 불로소득은 없다 상속이 받고 싶으면 그럴만한 능력을 갖추거나 능력 있는 놈과 결혼해부잣집 외동딸 태평 어느 날 독립통보를 받는다이제 그녀에게 남은 건 다 망해가는 횟집 태평수산뿐이다  길거리에 나앉기 일보 직전 태평은 한 남자가 물고기로 둔갑하는 장면을 목격하는데젊은이가 씨가 마른 어촌 마을 유일한 신랑감 후보는 물고기누가 내 남편이 될 물고기인가 육일공 작가의 신작,9.95,육일공,육일공,육일공
로베스의 완전감각,판타지,난 아무것도 느낄 수 없으니까감정 없는 아이 로베스의 감성 액션 어드벤처,9.97,정샛별,정샛별,정샛별
로봇빠찌,판타지,대한민국 명작 만화 리메이크 4 로봇빠찌신문수 화백의 대표작 로봇찌빠가 김상욱 작가님과 함께 로봇빠찌로 돌아오다명작 리메이크 시리즈는 한국만화영상진흥원구 부천만화정보센터와 함께 합니다,8.65,김상욱,김상욱,김상욱
로어 올림푸스,로맨스,어디서도 본 적 없는 신화 이야기 풋내기 여신 페르세포네와 지하세계의 왕 하데스의 현대판 로맨스 판타지글로벌 No1 인기작 Lore Olympus를 한국어 버전으로 감상하세요,9.94,레이첼 스마이스,레이첼 스마이스,레이첼 스마이스
로잘린 보가트,로맨스,남편이 어여뻐야 시가에 돈벼락이 내리지 않겠어요왕족과 귀족의 사치로 재정이 무너져가는 칼라브리아 왕국평민의 신분으로 거부가 된 부르주아 보가트 상단은 자신들이 유일하게 갖지 못한 명예를 얻기 위해보가트 상단의 천덕꾸러기 차녀 로잘린과 칼라브리아 왕가의 최고 미인 왕세자 로비엔을 결혼시키고자 하는데돈으로 산 명예 혼인으로 막은 왕가의 파산 뜻하지 않은 결혼을 하게 된 둘은서로의 치부를 감싸안고 가까워질 수 있을까,9.97,삼월에 , 마하 , 하노HANO
로판 빙의 만화,로맨스,읽던 소설 속 주인공이 된 고등학생 영희는 미래의 황후가 될 자신이 없어서 초장부터 원작 루트를 탈출하고 만다 그렇게 옆나라에서 조용히 살던 어느 날 우연히 자신과 똑같은 빙의자 철수를 만나게 되는데 한국에 돌아가고 싶은 이들은 원래의 세계로 돌아갈 계획을 세워보지만 돈은 없다는 가장 큰 문제에 부딪힌다 결국 그들은 만만한 음식 장사를 도전하게 되는데,9.96,싱난다,싱난다,싱난다
롤랑롤랑,판타지,코기 왕자 롤랑과 마녀 루이사의 모험 이야기베일에 숨겨져 있던 대사제의 과거와 교단의 비밀이 드디어 밝혀지는데,9.98,자유,자유,자유
롭플롭,드라마,어느 날 지하철에서 특이한 사람을 발견한 펠릭스는 2년만에 다시 붓을 들게 되고 그의 룸메이트인 해리는 그런 그를 관찰하기 시작한다 해리의 극단적 행동은 모른 채 펠릭스는 모든 일이 잘 풀려가는 것 같은데,9.97,CTK,CTK,CTK
루루라라 우리네 인생,일상,시간이 지나면 자연스레 성숙한 으른이 되어 있을 줄 알았는데그저 술과 음란한 이야기를 좋아하는 알딸딸한 어른이 되어버렸다  어느날 귀농을 결심한 부모님을 따라 어쩌다보니 시골과 도시를 오가게 된 현이씨의 인생 제 2막 시작,9.95,현이씨,현이씨,현이씨
루머의 법칙,로맨스,서운대 완벽여신 안다름의 완벽한 추락 바로엿같은 익명의 대학 커뮤니티 어플 캠모 때문에모든 걸 포기하고 싶던 순간그녀의 손을 잡아준 유일한 사람 이무열그리고 그녀를 유혹하는 무열의 의미심장한 한 마디원한다면 범인이 누군지 알려줄 수 있을 것 같은데각기 다른 이유로 루머의 중심에 선 네 남녀가 뭉쳤다교내 대중의 심판대 캠모에서전교생을 휘두르는 익명의 범인을 찾기 위해낭만 가득 캠퍼스에서의심과 함께 피어오르는 두 커플의 핑크빛 기류지금부터 그들의 익명 추적 로코가 시작된다,9.67,T그린 , BB추,T그린 
루시퍼의 경호원,판타지,루시퍼의 힘을 얻게 된 경호원과 힘을 뺏긴 루시퍼의 구슬 쟁탈전 ,9.6,문설희 , 직선,문설희 
루커피쳐,로맨스,어려서부터 동화 삽화가를 꿈꾸던 지수 꿈을 이루기 위해 자퇴를 하고 할머니 댁으로 간 지수는 그곳에서 도원을 만나게 된다꿈이 없어 고민이던 도원은 꿈을 위해 노력하는 지수에게 관심이 가는데잡으려 할수록 멀게만 느껴지는 꿈 언젠가는 꿈에 닿을 날이 올까요,9.96,효정,효정,효정
루크 비셸 따라잡기,로맨스,세상 두려울 게 없던 왕국에서 제일 가는 공작가의 망나니 바스티안 에펜베르크자신과 정반대인 왕국 최고 마물사냥꾼 루크 비셸과 결혼하겠다고 선언한다모든 게 반대인 두 사람의 결혼 과연 평탄할 수 있을 것인가,9.96,앙꼬빵 , 학뚜벅 , 에슈티
리버스,판타지,평범한 고등학생이었던 남매의 생명을 건 데스게임이 지금 막을 연다임달영  이수현 작가의 리버스가 225토부터 시즌2로 다시 연재를 시작합니다,9.31,임달영 , 이수현,임달영 
리안소울의 엑소클럽,판타지,녹안을 가진 신비한 소녀 소울과 천재 사이코패스 리안 미스테리한 저주계 사건을 해결하기 위해 의기투합하다,9.79,신진오 , 박희정,신진오 
리얼월드 ; 밸런스붕괴자,판타지,게임을 좋아하는 평범한 고등학생 최강우 어느 날 어릴 적부터 단골이었던 게임 가게가 폐업한다는 소식을 듣게 된다 마지막으로 가게를 찾은 날 가게 주인은 이름 모를 모바일 게임의 QR코드를 건넨다 호기심으로 시작한 이 게임 뭔가 이상하다 처음 받은 미션이 물 3컵 마시는 거라고 어이없는 미션을 대수롭지 않게 무시한 그 순간 실패 벌칙이 현실 세계에서 일어나버렸다점점 위험해지는 미션들 속에서 강우는 자신의 현실을 지켜내야 한다,8.82,콩이 , 엘코,콩이 
리얼주주,개그,12지전사의 작가 손태규의 웹툰 데뷔작리얼한 동물원 리얼주주에서 벌어지는 아기자기한 이야기 리얼주주로 놀러오세요,9.87,손태규,손태규,손태규
리즌,스릴러,믿는 자들과 믿지 않는 자들의생존을 위한 처절한 몸부림,9.79,이익수,이익수,이익수
리턴,스포츠,은반위에서 펼쳐지는 작은 소녀의 도전  근성소녀 스포츠 만화차성진 작가 만화 은반 위의 요정 리메이크작,9.85,송래현,송래현,송래현
리턴 투 플레이어,판타지,어느 날 게임이 되어버린 세상갑자기 나타난 몬스터들이 사람들을 죽이고 사람들은 플레이어가 되어  퀘스트를 달성해야 한다인류의 종말에서 회귀한 2회차 플레이어 김세한그는 과연 세상을 이렇게 만든 시스템을 쳐부술 수 있을까,9.92,엄키 , 세혼 , 인덱스
리트라이,판타지,수능 후 행복만 꿈꾸던 고3 난데없이 판타지 세계로 소환되는데 그런데 용사도 아니고 뭐라고 과연 무사히 모험을 마칠 수 있을까,8.89,텐,텐,텐
리트리츠,드라마,PUBG UNIVERSE 세상은 디스토피아1의 인류만이 거주할 수 있는 지상낙원 리트리츠그 곳의 소년 에드워드는 어느 날 계략에 빠져 슬럼의 소년과 바꿔치기 당하고 만다나락에 떨어진 그는 모든 것을 되찾기 위해 싸워 살아남아야 한다,9.93,신형욱 , 김선희,신형욱 
리프로듀싱,로맨스,내가 여자아이돌 한달만 여장하고 활동하자고일주일 전에 팀이 해체된 엔터 연습생 지우는 현재 데뷔를 10일 남겨둔 회사 자체 육성다큐 프로그램의 히든 멤버로 합류하라는 제안을 한다 이미 히든 멤버는 천재 작곡가 쌍둥이 연습생이라고 언론플레이를 해 놓은 상태로 연예인에는 관심이 없는 지우의 쌍둥이 여동생이 함께 합류해야 한다는 조건이 붙었다 쌍둥이 여동생 지수는 놀랍게도 데뷔를 수락하지만 현재 하고 있는 일이 있어 한 달 간의 시간이 필요하다 하지만 데뷔 일을 늦출 수는 없는 법 다행히 생김새와 체격 목소리까지 비슷한 지우가 어쩔 수 없이 한 달 간만 지수의 역할까지 맡기로 한다,8.02,고지애 , 이노,고지애 
링크보이,판타지,약육강식의 무법도시잘못된 이 도시를 바로잡는다,9.79,광진 , 두엽,광진 
마계인섬,판타지,용이산다 초 작가의 새로운 일상판타지 10년 전 대한민국 바다에 갑자기 나타난 마왕의 성두려움의 대상이었던 그 곳은 매직랜드로 불리며 세계적인 테마파크가 된다인간들의 우려와는 달리 그곳을 운영하는 마왕 퀴록과 마족들은 평화로운 공존을 위해 노력하며 살아가고 있다그러던 어느 날 그들의 평화로운 매직랜드에 변화가 찾아오는데,9.79,초,초,초
마귀,스릴러,악마와도 같은 살인마를 쫓는 두 형제와 경찰 그리고 검은 조직간의거미줄 처럼 얽힌 복수와 추격전이 펼쳐진다,9.71,정경훈,정경훈,정경훈
마녀사냥,드라마,마녀와 악마 마지막에 살아남는 건 누구인가2013 대학만화 최강자전 8강 진출작,9.95,박소,박소,박소
마녀와 용의 신혼일기,로맨스,한 번의 실수로 인생을 꿰인 천재 마녀의 달콤살벌 신혼생활신입과의 하룻밤으로 모든 지위와 명성에 먹칠 당하게 된 천재 마법사 웬디 그런데 뭐 비밀을 지켜줄 테니 결혼해달라고,9.96,뉴릉이 , 디망 , 바리달
마녀의 소녀,드라마,눈에 띄지 않은 평범한 여고생 안나린은 같은반 동준을 짝사랑한다소원을 말해보라는 신비스러운 전학생 진희에게 사랑을 이루게 해 달라고 소원을 빌고정말 그 소원은 마법처럼 이루어진다하지만 소원을 이뤄진 뒤  끔찍한 대가가 안나린을 기다리고 있었다,9.62,제피가루 , 수국,제피가루 
마녀의 심판은 꽃이 된다,스릴러,악인에게 악취를 느끼는 선화는 난생처음 향기가 나는 정향을 만나게 된다그러나 마냥 선한 줄만 알았던 정향은 악인을 꽃으로 만드는 마녀였는데혹시 죽이고 싶은 사람 있니,9.96,은백 , 서현,은백 
마녀이야기,판타지,오컬트 오타쿠인 자칭마녀 서채윤 그녀 앞에 진짜 마녀 유리아가 나타났다유리아는 자기 대신 18세 생일에 악마와 계약해 마녀가 되라는 제안을 해오는데이 계약 믿어도 괜찮을까 믿을 수 없는 마법판타지,9.58,원재,원재,원재
마도,판타지,그 얼굴 안 쓸 거면 나줘자신의 운명을 모른 채 마법사와 위험한 계약을 한 주인남악마를 잡는 마녀의 등장과 엉망이 돼버린 대학생활신박한 오컬트 액션 스릴러위험한 변신이 시작된다,9.75,이밤,이밤,이밤
마루는 강쥐,개그,우리 집 강아지 마루가 사람이 되었다 그것도 5살 아이로강아지  어린아이의 무한 에너지와 호기심을 지닌 사고뭉치 강쥐 탄생 마루야 또 어디가 유쾌한 이웃들과 우당탕탕 즐거운 마루의 나날들,9.98,모죠,모죠,모죠
마루한 - 구현동화전,무협/사극,책을 읽는 것 만으로도 강해지는 마루한그가 읽어가는 무협 동화 이야기,9.89,박성우,박성우,박성우
마른 가지에 바람처럼,로맨스,남편을 잃고 아이를 빼앗기고 이제 생매장을 눈 앞에 둔 과부 리에타 그 곳에 미친 폐황자로 불리는 저주받은 땅 악시아스 성의 대공 킬리언이 나타났다그녀를 데려가겠다고 말하는 킬리언이 인사를 건넨다 안녕 요부,9.98,화음 , 달새울,화음 
마물전담부대,판타지,마법혁명으로 근대화를 이룬 판타지 세계하지만 이러한 세계에서도 마물은 여전히 인류를 위협하는 요소였고이를 위해 각 국가는 마물 퇴치를 위한 조직 마물전담부대를 조직한다평범한 소시민이었던 리건은 엉겁결에 마물전담부대에 입대하게 되고여기서 열심히 구르며 고생하는 리건의 이야기가 시작된다본의 아니게 입대를 하게 되었지만 신입 부대원은 자신 한명 뿐이었고선임들의 집중교육과 목숨이 오가는 전투 속에서 리건은 점점 강해진다하지만 리건이 상대하는 마물 역시 만만치 않은 존재이기에리건은 눈물 겨운 사투는 계속 이어진다,9.86,염손,염손,염손
마법사가 죽음을 맞이하는 ...,판타지,이제 끝내고 싶어사악한 드래곤을 없애야 죽을 수 있다는 저주로 인해 300년이라는 긴 시간을 살아온 대마법사 엔테 마침내 드래곤을 물리치고 안식을 맞이했으나 눈을 뜬 곳은 사후세계가 아닌 휘황찬란한 귀족 저택이었다 더군다나 마법이라곤 로맨스 판타지 소설밖에 모르는 귀족 영애의 몸에 빙의되었는데,9.96,박젶 , 주은설,박젶 
마법사랑해,판타지,만물을 아우르는 마법을 깨우치고도 정작 텅 빈 감정의 소유자였던 위대한 마법사파멸의 마왕을 깨우려는 자들과 맞서기 위해 그의 심장이 다시 뛰기 시작했다,9.97,명랑 , 청설모,명랑 
마법스크롤 상인 지오,판타지,마법사인 듯 마법사 아닌마법사 같은 너 오지오,9.96,엄재경 , 호패,엄재경 
마성의 공작님은 잠 못 이...,로맨스,남녀노소를 홀리는 마성 때문에 시종 하나 곁에 둘 수 없는 비운의 공작 카헬 루아브마성이 통하지 않는 희귀 체질 하녀 레나를 만나다,9.95,레몬개구리 , 고요곰,레몬개구리 
마섹남 - 마술하는 섹시한...,로맨스,마술계의 아이돌이자 대한민국 최고의 마술사 마마성 어느 날 광화문 한복판에서 수영복 차림의 여자가 그의 스포츠카로 떨어져서 외친다 동궁마마과거의 기억을 잃은 채 대한민국에서 살아가던 천동은 마성과 몸이 닿는 순간 마성에게서 조선의 왕세자 이호의 모습을 보게 되는데시간의 문이 열리는 동궁전과 조선의 무녀 천동 신비한 능력을 지닌 마술사 마성 오백 년을 넘나드는 마술 같은 로맨스가 지금 펼쳐진다,9.91,랑또 , 티르스 , 육시몬
마술사,판타지,통일 대륙 칸테라 마지막 이야기,9.93,김세래,김세래,김세래
마스코마스코,드라마,신비로운 마법으로 가득한 도시 아크로시티그곳엔 마법을 부리고 마법 약을 제조하는 마스코들이 존재한다마스코를 동경해온 소녀 돌시는 우연히 부작용 괴물 때문에 아수라장이 된 현장을 목격하고해독 약을 제조해 단숨에 상황을 종결 시키지만 도리어 인간에게 마법 약을 남용한 용의자로 의심받는 처지에 놓인다한 편 괴물 소동에 이어 원로회의 소속인 더블 A급 마스코가 살해되면서 아크로시티의 평화에 금이 가기 시작하는데,9.63,남정훈,남정훈,남정훈
마스크걸,스릴러,끝내주게 못생기고끝내주게 몸매좋은 여자 김모미,9.96,매미 , 희세,매미 
마야고,스릴러,미스테리 스릴러 빙의그리고 치명적인 시즌2 마야고,9.95,후렛샤 , 김홍태,후렛샤 
